1,load id=Story05End,,,,,,,,,
0,boss=Boss1|destroy,,,,,,,,,
0,load id=Story05Boss,,,,,,,,,
0,boss=Boss1|activated,,,,,,,,,
0,load id=Story05Mid,,,,,,,,,
5,boss=Boss1|inactivated,,,,,,,,,
2,32,AABA060,,,224,AABA060,,,416,AABA060
2,,,128,AABA060,,,320,AABA060,,
2,32,ABXA060,,,224,ABXA060,,,416,ABXA060
2,32,AAAA060,128,ABXA060,224,AAAA060,320,ABXA060,416,AAAA060
2,,,128,AAAA060,,,320,AAAA060,,
2,32,AAAA060,,,224,AAAA060,,,416,AAAA060
2,,,128,AAAA060,,,320,AAAA060,,
1,,,,,,,,,416,AFAA060
1,,,,,,,,,416,AFAA060
1,,,,,,,,,416,AFAA060
1,32,AEAA060,,,,,,,,
1,32,AEAA060,,,,,,,,
1,32,AEAA060,,,224,AAAA060,,,416,AAAA060
1,,,,,,,,,416,ADAA060
1,,,,,,,,,416,ADAA060
1,,,,,,,,,416,ADAA060
1,32,ACAA060,,,,,,,,
1,32,ACAA060,,,,,,,,
1,32,ACAA060,,,224,AAAA060,,,416,AAAA060
2,32,AAAA060,128,ABXA060,224,AAAA060,320,ABXA060,416,AAAA060
2,,,128,AAAA060,,,320,AAAA060,,
2,32,AAAA060,,,224,AAAA060,,,416,AAAA060
0.5,,,128,AAAX060,,,320,AAAA060,,
0,load id=Story05Start,,,,,,,,,
